,city_code,city,pre_code
3790,32209,雲南市,32
3794,32343,奥出雲町,32
3753,32501,津和野町,32
3532,33101,岡山市 北区,33
3503,33102,岡山市 中区,33
3508,33103,岡山市 東区,33
3514,33104,岡山市 南区,33
2916,33202,倉敷市,33
3551,33203,津山市,33
3951,33204,玉野市,33
2731,33205,笠岡市,33
4230,33207,井原市,33
3626,33208,総社市,33
3994,33209,高梁市,33
3578,33210,新見市,33
3589,33211,備前市,33
3510,33212,瀬戸内市,33
4533,33213,赤磐市,33
3883,33214,真庭市,33
3864,33215,美作市,33
4245,33216,浅口市,33
3591,33346,和気町,33
3955,33423,早島町,33
3504,33445,里庄町,33
3880,33622,勝央町,33
3901,33663,久米南町,33
3911,33666,美咲町,33
1704,34103,広島市 南区,34
2018,34105,広島市 安佐南区,34
1752,34106,広島市 安佐北区,34
1689,34107,広島市 安芸区,34
1715,34202,呉市,34
1705,34203,竹原市,34
1693,34204,三原市,34
1694,34205,尾道市,34
1712,34207,福山市,34
3802,34208,府中市,34
3507,34209,三次市,34
3694,34210,庄原市,34
1690,34212,東広島市,34
3696,34214,安芸高田市,34
1762,34302,府中町,34
1698,34304,海田町,34
1706,34309,坂町,34
3844,34462,世羅町,34
3685,35204,萩市,35
3684,35502,阿武町,35
2055,36201,徳島市,36
1688,36202,鳴門市,36
1900,36205,吉野川市,36
1902,36207,美馬市,36
1871,36208,三好市,36
2021,36341,石井町,36
3227,36383,牟岐町,36
3379,36387,美波町,36
3383,36388,海陽町,36
1716,36404,板野町,36
1904,36468,つるぎ町,36
1913,36489,東みよし町,36
1720,37201,高松市,37
2211,37202,丸亀市,37
2169,37203,坂出市,37
1765,37204,善通寺市,37
1837,37205,観音寺市,37
1686,37206,さぬき市,37
1684,37207,東かがわ市,37
1831,37208,三豊市,37
2042,37341,三木町,37
2144,37387,綾川町,37
2134,37403,琴平町,37
1834,37404,多度津町,37
1880,37406,まんのう町,37
1748,38201,松山市,38
1789,38202,今治市,38
1680,38203,宇和島市,38
1839,38205,新居浜市,38
2138,38206,西条市,38
1845,38207,大洲市,38
1879,38210,伊予市,38
1673,38213,四国中央市,38
1802,38214,西予市,38
2162,38215,東温市,38
1963,38401,松前町,38
1672,38484,松野町,38
1674,38488,鬼北町,38
1874,39201,高知市,39
2400,39203,安芸市,39
1884,39204,南国市,39
1860,39206,須崎市,39
1832,39210,四万十市,39
3459,39211,香南市,39
2082,39212,香美市,39
1875,39344,大豊町,39
1876,39386,いの町,39
1889,39401,中土佐町,39
1855,39402,佐川町,39
1856,39410,日高村,39
1885,39412,四万十町,39
1955,39428,黒潮町,39
157,41441,太良町,41
79,42201,長崎市,42
1275,42203,島原市,42
81,42204,諫早市,42
274,42205,大村市,42
1252,42213,雲仙市,42
132,42307,長与町,42
256,43101,熊本市 中央区,43
759,43102,熊本市 東区,43
328,43103,熊本市 西区,43
258,43104,熊本市 南区,43
254,43105,熊本市 北区,43
6,43202,八代市,43
280,43203,人吉市,43
577,43204,荒尾市,43
519,43205,水俣市,43
586,43206,玉名市,43
259,43211,宇土市,43
266,43213,宇城市,43
216,43214,阿蘇市,43
594,43216,合志市,43
571,43364,玉東町,43
572,43368,長洲町,43
242,43403,大津町,43
585,43404,菊陽町,43
334,43428,高森町,43
329,43433,南阿蘇村,43
771,43468,氷川町,43
5,43482,芦北町,43
670,43484,津奈木町,43
300,43501,錦町,43
298,43505,多良木町,43
569,43506,湯前町,43
443,43510,相良村,43
1236,43513,球磨村,43
301,43514,あさぎり町,43
101,44205,佐伯市,44
218,44208,竹田市,44
245,44212,豊後大野市,44
8,45201,宮崎市,45
95,45202,都城市,45
68,45203,延岡市,45
7,45204,日南市,45
164,45205,小林市,45
65,45206,日向市,45
14,45207,串間市,45
165,45209,えびの市,45
97,45341,三股町,45
180,45361,高原町,45
71,45401,高鍋町,45
72,45402,新富町,45
382,45405,川南町,45
64,45406,都農町,45
76,45421,門川町,45
134,46201,鹿児島市,46
213,46204,枕崎市,46
468,46206,阿久根市,46
658,46208,出水市,46
204,46210,指宿市,46
444,46215,薩摩川内市,46
528,46216,日置市,46
110,46217,曽於市,46
111,46218,霧島市,46
460,46219,いちき串木野市,46
379,46221,志布志市,46
199,46223,南九州市,46
138,46225,姶良市,46
285,46452,湧水町,46
0,47209,名護市,47
