,id,pre_code
2452,1515350297,10
2453,1515350374,10
2454,1515354208,10
2455,1515363327,10
2456,1516593574,11
2457,1516609456,11
2458,1516616172,11
2459,1516616848,11
2460,1516645255,11
2461,1516647950,11
2462,1517615247,10
2463,1517615530,10
2464,1517625755,10
2465,1517626241,10
2466,1517663903,10
2467,1517667103,10
2468,1517673037,10
2469,1517676544,10
2470,1517688018,10
2471,1518948327,13
2472,1518949287,11
2473,1522574015,8
2474,1522574017,8
2475,1522574019,8
2476,1524640120,8
2477,1524650679,8
2478,1524652392,8
2479,1524764171,8
2480,1524767726,8
2481,1524771991,8
2482,1524804449,13
2483,1524818990,8
2484,1524842840,8
2485,1525436992,9
2486,1525498982,9
2487,1525499119,9
2488,1525499244,9
2489,1528197065,9
2490,1528203462,9
2491,1528205866,9
2492,1528216059,9
2493,1528221049,9
2494,1528258539,9
2495,1528261040,9
2496,1528261605,9
2497,1528262916,9
2498,1531017395,11
2499,1533897784,12
2500,1535386952,9
2501,1537993671,12
2502,1537993695,12
2503,1538995134,13
2504,1553836411,13
2505,1558516207,12
2506,1558517087,12
2507,1560170373,13
2508,1568548114,13
2509,1568711756,13
2510,1573903959,12
2511,1575270863,12
2512,1575270874,12
2513,1576280884,10
2514,1577163925,13
2515,1577164893,13
2516,1580641648,9
2517,1580641960,9
2518,1589380924,13
2519,1593326247,13
2520,1595007561,13
2521,1595012583,13
2522,1595014913,13
2523,1599120552,13
2524,1601461284,14
2525,1605228823,19
2526,1605296401,19
2527,1605298535,19
2528,1605299174,19
2529,1606556221,19
2530,1606561888,19
2531,1606563116,19
2532,1606564292,19
2533,1606732315,14
2534,1608320240,19
2535,1608321769,19
2536,1608324916,19
2537,1608326520,19
2538,1610268912,19
2539,1610334347,19
2540,1615105600,13
2541,1615105746,13
2542,1615105770,13
2543,1615105813,13
2544,1615105821,13
2545,1615156411,13
2546,1629755252,13
2547,1632890681,13
2548,1639166330,13
2549,1639166342,13
2550,1639166348,13
2551,1639166406,13
2552,1641216343,12
2553,1641216350,12
2554,1641216392,12
2555,1641216427,12
2556,1641216428,12
2557,1641216441,12
2558,1641216456,12
2559,1641216487,12
2560,1641216534,12
2561,1641216593,12
2562,1641216628,12
2563,1641216630,12
2564,1641216731,12
2565,1641216757,12
2566,1641216958,12
2567,1641217063,12
2568,1641217125,12
2569,1641217212,12
2570,1641243747,12
2571,1641243888,12
2572,1641859672,13
2573,1641860336,13
2574,1642009790,12
2575,1642009981,12
2576,1642010140,12
2577,1642010234,12
2578,1642010241,12
2579,1642010243,12
2580,1642010251,12
2581,1642010266,12
2582,1642010356,12
2583,1642010427,12
2584,1642010451,12
2585,1642010530,12
2586,1642010876,12
2587,1642010940,12
2588,1642010941,12
2589,1642011098,12
2590,1642011242,12
2591,1642012055,12
2592,1642012121,12
2593,1642012285,12
2594,1642012366,12
2595,1642012404,12
2596,1642012443,12
2597,1642012467,12
2598,1642012507,12
2599,1642013103,12
2600,1642013145,12
2601,1642013273,12
2602,1642145678,12
2603,1642145733,12
2604,1642145796,12
2605,1642146746,12
2606,1642146750,12
2607,1642146752,12
2608,1642146753,12
2609,1642146770,12
2610,1642146771,12
2611,1642146806,12
2612,1642146999,12
2613,1642147004,12
2614,1642147024,12
2615,1642147072,12
2616,1642147947,12
2617,1642148032,12
2618,1642148079,12
2619,1642841140,12
2620,1642841902,12
2621,1642842162,12
2622,1642842183,12
2623,1642842215,12
2624,1643997526,12
2625,1643997768,12
2626,1643997839,12
2627,1643997873,12
2628,1643997900,12
2629,1643997916,12
2630,1643997918,12
2631,1643997919,12
2632,1643997927,12
2633,1643997932,12
2634,1645769197,8
2635,1646026057,12
2636,1646026059,12
2637,1646026061,12
2638,1646026065,12
2639,1646026089,12
2640,1646026094,12
2641,1646026103,12
2642,1646026112,12
2643,1646026140,12
2644,1646026155,12
2645,1646026174,12
2646,1646026185,12
2647,1646026198,12
2648,1646026310,12
2649,1646026462,12
2650,1646026515,12
2651,1646026532,12
2652,1646026567,12
2653,1646028520,12
2654,1646028707,12
2655,1646028778,12
2656,1647001134,12
2657,1647001137,12
2658,1647001277,12
2659,1647001299,12
2660,1647001367,12
2661,1647001653,12
2662,1647001665,12
2663,1647001734,12
2664,1647001857,12
2665,1647001955,12
2666,1647002128,12
2667,1647002241,12
2668,1647003346,12
2669,1648122509,12
2670,1648288890,14
2671,1649369362,12
2672,1649371317,12
2673,1649371516,12
2674,1649371821,12
2675,1649373287,12
2676,1649373704,12
2677,1651470114,13
2678,1651611667,12
2679,1651611706,12
2680,1651612047,12
2681,1651612094,12
2682,1654509359,14
2683,1656328770,14
2684,1656371118,11
2685,1657941630,11
2686,1658245088,11
2687,1665416395,13
2688,1666311051,13
2689,1666311442,13
2690,1666311474,13
2691,1666311531,13
2692,1666311570,13
2693,1666311578,13
2694,1666311580,13
2695,1666311584,13
2696,1668680684,14
2697,1671202360,13
2698,1676750316,13
2699,1676750324,13
2700,1676750436,13
2701,1676750508,13
2702,1677072767,13
2703,1677072958,13
2704,1677072993,13
2705,1677784846,7
2706,1679217425,13
2707,1679217449,13
2708,1679217460,13
2709,1679217493,13
2710,1679217513,13
2711,1679932681,14
2712,1680024577,13
2713,1680211433,11
2714,1680211610,11
2715,1680211644,11
2716,1680211711,11
2717,1680212411,11
2718,1680212618,11
2719,1680212808,11
2720,1680212944,11
2721,1680213244,11
2722,1680213555,11
2723,1680213663,11
2724,1680213692,11
2725,1680213788,11
2726,1680213816,11
2727,1680213873,11
2728,1680213891,11
2729,1680214049,11
2730,1680214581,11
2731,1680214698,11
2732,1680296046,12
2733,1680296103,12
2734,1680296229,12
2735,1680296239,12
2736,1680296252,12
2737,1680296287,12
2738,1680296323,12
2739,1680296328,12
2740,1680296336,12
2741,1680296462,12
2742,1680296482,11
2743,1680726162,12
2744,1680726205,12
2745,1680726242,12
2746,1680726268,11
2747,1680726270,12
2748,1680726289,12
2749,1680726334,12
2750,1680726374,12
2751,1680726379,11
2752,1680726391,12
2753,1680726686,12
2754,1680726695,11
2755,1680726699,11
2756,1680726716,11
2757,1680810674,9
2758,1681919725,12
2759,1681919821,12
2760,1681919860,11
2761,1681919896,11
2762,1683172993,13
2763,1683186859,13
2764,1683186925,13
2765,1683186942,13
2766,1683186984,13
2767,1683186996,13
2768,1683187011,13
2769,1683187025,13
2770,1683187604,13
2771,1683187930,13
2772,1683188223,13
2773,1683188240,13
2774,1683188288,13
2775,1683188476,13
2776,1683188745,13
2777,1683188825,13
2778,1683189235,13
2779,1683189283,13
2780,1683189331,13
2781,1683189364,13
2782,1683189501,13
2783,1683189553,13
2784,1683189563,13
2785,1683200819,11
2786,1685240199,12
2787,1685240232,12
2788,1685240331,12
2789,1685516143,13
2790,1686031924,13
2791,1686032069,13
2792,1686032136,13
2793,1692706266,13
2794,1693276693,13
2795,1693277326,13
2796,1694291031,9
2797,1695896809,13
2798,1695982210,8
2799,1697453972,12
2800,1697453983,12
2801,1697486436,12
2802,1697486440,12
2803,1699227946,8
2804,1699228001,8
2805,1699578352,12
2806,1699611264,12
2807,1700830503,12
2808,1700831316,12
2809,1700831350,12
2810,1700831365,12
2811,1700831651,12
2812,1700835791,12
2813,1700838640,12
2814,1700840460,12
2815,1705673125,12
2816,1705673812,12
2817,1720860985,14
2818,1720860991,14
2819,1723402719,13
2820,1723586704,10
2821,1723594277,10
2822,1723890884,8
2823,1723890891,8
2824,1726469243,12
2825,1727276660,12
2826,1727956659,12
2827,1727980630,12
2828,1727985069,12
2829,1730744337,13
2830,1733565784,10
2831,1733732291,14
2832,1735307115,11
2833,1735307181,11
2834,1737464242,13
2835,1737464307,13
2836,1737464330,13
2837,1742799885,7
2838,1744489546,14
2839,1747664477,11
2840,1747664581,11
2841,1747664756,11
2842,1750519018,12
2843,1750519021,12
2844,1751888419,20
2845,1756991284,8
2846,1756991338,8
2847,1756991342,8
2848,1756991418,8
2849,1756991702,8
2850,1756991762,8
2851,1759363926,9
2852,1759893092,10
2853,1761212411,13
2854,1763603019,12
2855,1763603161,12
2856,1763603172,12
2857,1763603286,12
2858,1770560410,14
2859,1770560460,14
2860,1770560489,14
2861,1771554685,14
2862,1771554689,14
2863,1771554694,14
2864,1771554718,14
2865,1772054944,14
2866,1772054947,14
2867,1772819420,14
2868,1772827246,14
2869,1777027697,13
2870,1777027754,13
2871,1777027796,13
2872,1777027838,13
2873,1777103139,13
2874,1777819411,12
2875,1777819516,12
2876,1777819547,12
2877,1777819621,12
2878,1778736787,12
2879,1778774699,12
2880,1778865649,12
2881,1779968251,12
2882,1779981126,12
2883,1779981160,12
2884,1779981235,12
2885,1780007541,12
2886,1784469383,14
2887,1784734972,14
2888,1785390468,20
2889,1789521087,20
2890,1794476089,14
2891,1795607937,9
2892,1795607987,9
2893,1798226953,11
2894,1799007096,10
2895,1800206379,12
2896,1801302770,14
2897,1803003542,10
2898,1803659506,14
2899,1804102065,14
2900,1815793484,10
2901,1815793489,10
2902,1815828855,10
2903,1815877178,10
2904,1815877221,10
2905,1815877251,10
2906,1816015979,10
2907,1816392861,10
2908,1819106524,10
2909,1819106538,10
2910,1819106548,10
2911,1819106562,10
2912,1819106635,10
2913,1821159088,12
2914,1821159105,12
2915,1823118885,13
2916,1823396903,12
2917,1823396907,12
2918,1824407112,12
2919,1824407176,12
2920,1824407249,12
2921,1825247222,12
2922,1825247238,12
2923,1825247414,12
2924,1825247479,12
2925,1825247505,12
2926,1825247517,12
2927,1825247548,12
2928,1825247554,12
2929,1825522102,10
2930,1829809050,10
2931,1830131669,12
2932,1830131842,12
2933,1830133297,12
2934,1830133386,12
2935,1830134547,12
2936,1831219304,12
2937,1832343649,12
2938,1832412554,10
2939,1833485328,10
2940,1833485375,10
2941,1834066443,12
2942,1835833440,10
2943,1837460834,13
2944,1841747526,12
2945,1844858772,10
2946,1855458374,10
2947,1859833590,13
2948,1859833594,13
2949,1861601680,12
2950,1862582494,10
2951,1868845502,10
2952,1869802914,13
2953,1870027357,13
2954,1870182303,13
2955,1871677683,10
2956,1871677778,10
2957,1871677803,10
2958,1871677811,10
2959,1871844387,10
2960,1872076005,13
2961,1872076020,13
2962,1872076230,13
2963,1872328771,10
2964,1872916376,10
2965,1872916381,10
2966,1872916390,10
2967,1873109028,14
2968,1875427723,12
2969,1875427737,12
2970,1876015073,10
